,date,localName,name
0,2016-01-01,Новый год,New Year's Day
1,2016-01-02,Новогодние каникулы,New Year holiday
2,2016-01-03,Новогодние каникулы,New Year holiday
3,2016-01-04,Новогодние каникулы,New Year holiday
4,2016-01-05,Новогодние каникулы,New Year holiday
5,2016-01-06,Новогодние каникулы,New Year holiday
6,2016-01-07,Рождество Христово,Orthodox Christmas Day
7,2016-02-23,День защитника Отечества,Defender of the Fatherland Day
8,2016-03-08,Международный женский день,International Women's Day
9,2016-05-01,День труда,Labour Day
10,2016-05-09,День Победы,Victory Day
11,2016-06-12,День России,Russia Day
12,2016-11-04,День народного единства,Unity Day
